"#""Step""",Time (ps),Potential Energy (kJ/mole),Temperature (K),Box Volume (nm^3),Density (g/mL),Speed (ns/day)
32250,14.499999999984936,-696618.918138796,299.9855727583152,520.0265033452728,1.025741342681401,0.904
32500,14.999999999983757,-697343.1215279071,300.6357436133314,519.181979444684,1.0274098579881978,0.904
32750,15.499999999982606,-696692.7007518347,300.5863983963327,521.5412839339905,1.0227621478931783,0.906
33000,15.99999999998144,-696772.9161784888,300.82114646597074,521.0634112468671,1.0237001337224507,0.906
33250,16.499999999980275,-696672.6410221526,300.05867484011725,520.9488248988639,1.0239253037471578,0.906
33500,16.999999999979124,-696852.881430178,300.1528400042773,521.6926431923746,1.022465412790185,0.905
33750,17.499999999977945,-697491.0930998606,301.0120483039772,521.502565277772,1.0228380822770804,0.905
34000,17.99999999997678,-696473.3766626405,297.9115496893125,521.502565277772,1.0228380822770804,0.906
34250,18.4999999999756,-696775.2895241167,297.9237773517069,521.7035310909445,1.0224440740430958,0.906
34500,18.999999999974435,-696634.3609506398,298.0380137025588,521.8696522977127,1.022118610313436,0.907
34750,19.499999999973284,-697140.6013616615,299.4194757400314,522.2360254890364,1.021401545923209,0.907
35000,19.99999999997212,-696522.7977935082,298.3279249749885,520.7791595882753,1.0242588896856142,0.908
35250,20.499999999970953,-696589.5887522433,299.33971117302394,521.130250433693,1.0235688358666175,0.909
35500,20.999999999969802,-696444.2046268913,297.3025242482854,521.6660281424979,1.0225175782878229,0.909
35750,21.499999999968622,-697049.6890643213,299.840169312513,521.4819544037489,1.022878508578857,0.907
36000,21.999999999967457,-697501.2552465644,298.5607971950412,520.6429898241195,1.0245267759227652,0.908
36250,22.499999999966278,-697666.3875890018,298.88550813931425,521.3655811666237,1.0231068237717449,0.909
36500,22.999999999965127,-697271.1183999478,299.3054188803705,520.8197266627017,1.0241791093230768,0.909
36750,23.49999999996396,-696638.9929923731,299.7151691681634,521.3661518530291,1.023105703880947,0.907
37000,23.999999999962796,-696961.017864697,300.2802304840005,521.3372159533669,1.0231624895526494,0.906
37250,24.499999999961645,-696380.4566091322,300.1446356052604,521.4375596129587,1.0229655956644628,0.905
37500,24.99999999996048,-696374.2609537519,302.2162931320133,521.553551601394,1.0227380911001134,0.904
37750,25.4999999999593,-695564.256792827,298.9625959923485,521.553551601394,1.0227380911001134,0.905
38000,25.99999999995812,-696008.251316745,299.28640761928983,521.7509735499705,1.0223511039030324,0.905
38250,26.499999999956955,-697189.5299282947,299.82067560334366,522.1697258417286,1.0215312328025954,0.906
38500,26.999999999955804,-696906.9542536068,298.6512854089788,522.2581641567366,1.0213582484298127,0.907
38750,27.49999999995464,-697289.6338219433,299.0871500730708,521.0726334048217,1.0236820158560993,0.907
39000,27.999999999953474,-697956.1740524055,300.15890223560893,521.4324766187965,1.0229755676711636,0.907
39250,28.499999999952323,-697135.6208980653,300.0639542455182,520.6044910290599,1.024602539860762,0.908
39500,28.999999999951143,-698394.2326381323,301.9036993432684,520.6044910290599,1.024602539860762,0.909
39750,29.499999999949978,-697899.4423647115,299.7356256731834,521.1220132393397,1.023585015063084,0.908
40000,29.9999999999488,-697827.6403972605,300.09805160189626,520.634555066704,1.0245433741964227,0.908
40250,30.499999999947633,-698095.9767304766,299.73355625675345,519.5281061347025,1.026725363791948,0.908
40500,30.999999999946482,-697147.1996218769,300.6602085441593,520.8906726249455,1.0240396148451767,0.908
40750,31.499999999945317,-696891.0359456968,298.762005862954,521.2952454938086,1.0232448662868718,0.909
41000,31.999999999944166,-696124.2268624704,299.0877271820096,521.6843758105014,1.0224816162887211,0.909
